År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,0,10782,0,496,6085,17364,11449
1991,0,10553,0,497,5307,16357,11220
1992,1,10230,0,245,5529,16004,10646
1993,1,9610,6024,209,6256,22100,16014
1994,1,9205,3869,292,6348,19716,13537
1995,1,9193,6217,375,6504,22290,15956
1996,1,9082,5758,185,5061,20087,15196
1997,1,8970,5579,227,5906,20683,14947
1998,1,8858,5306,232,6143,20540,14567
1999,2,8748,5169,270,6664,20853,14358
2000,2,8636,4632,372,7204,20846,13811
2001,2,8556,4346,418,6291,19613,13492
2002,0,8234,3586,450,5796,18065,12439
2003,0,8329,3780,369,5540,18019,12648
2004,0,8265,3683,538,5606,18092,12656
2005,8,7955,3680,406,5662,17711,12218
2006,1,8508,4142,421,6193,19264,13241
2007,35,8426,4184,377,6349,19371,13191
2008,0,8345,4167,480,6819,19811,13162
2009,0,8342,4294,444,6168,19249,13251
2010,0,8411,4138,412,5695,18656,13131
2011,0,8336,4439,390,6142,19308,13335
2012,0,8642,4428,445,6117,19633,13686
2013,0,8857,4651,449,5664,19622,14128
2014,0,7519,5011,432,6459,19421,13132
2015,0,8411,5319,307,6135,20171,14206
2016,0,8526,5459,467,5219,19672,14622
2017,0,8538,5588,522,5603,20250,14817
2018,0,8872,5103,463,6079,20516,14607
2019,0,8712,5345,429,6237,20723,14656
2020,0,8805,5144,367,6735,21052,14486
2021,0,8859,4806,322,5755,19743,14157
